"DATE","AWAY_NAME","HOME_NAME","AWAY_2PA","AWAY_2PM","AWAY_3PA","AWAY_3PM","AWAY_FTA","AWAY_FTM","AWAY_TO","AWAY_ORB","AWAY_DRB","HOME_2PA","HOME_2PM","HOME_3PA","HOME_3PM","HOME_FTA","HOME_FTM","HOME_TO","HOME_ORB","HOME_DRB","AWAY_PTS_Q1","HOME_PTS_Q1","AWAY_PTS_Q2","HOME_PTS_Q2","AWAY_PTS_Q3","HOME_PTS_Q3","AWAY_PTS_Q4","HOME_PTS_Q4","AWAY_PTS_FINAL","HOME_PTS_FINAL"
20091114,"BOS","IND",70,36,12,3,31,23,14,14,29,58,31,18,9,31,24,10,6,28,27,26,61,52,79,84,104,113,104,113
20091114,"DET","WAS",62,28,19,9,32,23,13,16,28,62,27,17,9,25,22,16,13,30,27,18,55,47,78,80,106,103,106,103
20091114,"GS","MIL",62,38,20,8,28,25,11,2,29,67,34,24,14,30,19,14,15,31,30,21,57,49,83,92,125,129,125,129
20091114,"MIN","MEM",68,39,15,1,9,6,20,6,30,66,37,14,2,20,17,21,12,34,23,25,45,45,63,68,87,97,87,97
20091114,"NJ","MIA",61,26,9,4,21,16,13,9,29,66,29,18,4,15,11,9,15,30,19,17,38,40,57,58,80,81,80,81
20091114,"NO","ATL",64,33,27,7,18,11,17,14,27,68,41,20,7,29,18,14,17,31,28,37,55,65,78,91,98,121,98,121
20091114,"OKC","SA",65,34,12,2,34,27,16,10,30,61,34,18,3,25,21,15,8,30,25,25,46,53,78,74,101,98,101,98
20091114,"PHI","CHI",61,27,20,7,21,13,18,10,30,70,32,8,3,28,21,21,11,34,23,22,41,40,59,63,88,94,88,94
20091114,"POR","CHA",44,22,20,5,25,21,13,6,37,63,24,19,6,14,8,11,16,24,18,18,38,30,55,51,80,74,80,74
20091114,"UTA","CLE",62,36,12,3,26,22,18,8,30,54,30,22,9,27,20,12,7,21,22,34,54,59,72,78,103,107,103,107
20091115,"DAL","DET",66,29,16,7,21,16,8,11,27,70,36,13,2,17,12,13,12,32,22,18,40,46,71,66,95,90,95,90
20091115,"HOU","LAL",59,29,32,9,19,16,19,13,47,61,25,23,7,27,20,13,6,32,23,29,52,54,80,73,101,91,101,91
20091115,"LAC","OKC",62,33,17,5,28,20,12,12,30,65,30,20,3,29,24,13,18,30,26,23,49,41,75,76,101,93,101,93
20091115,"TOR","PHO",64,31,24,9,14,11,11,11,28,54,27,24,8,27,23,15,12,34,33,31,53,50,79,77,100,101,100,101
20091116,"CHA","ORL",57,32,14,4,26,15,17,4,30,45,22,32,11,31,20,13,13,28,21,25,52,50,68,76,91,97,91,97
20091116,"DAL","MIL",66,34,20,10,22,17,16,9,39,72,30,27,14,17,11,10,14,33,33,28,66,54,85,82,104,104,115,113
20091116,"POR","ATL",63,30,17,7,17,14,19,8,29,73,34,18,5,20,16,14,15,32,28,20,48,43,67,58,85,85,95,99
20091117,"CHI","SAC",71,32,12,7,21,16,17,12,29,60,31,21,4,18,13,21,13,28,27,23,61,47,86,72,101,87,101,87
20091117,"DET","LAL",60,31,12,3,27,22,17,7,25,69,38,20,4,22,18,12,14,30,22,23,42,57,63,88,93,106,93,106
20091117,"GS","CLE",64,32,24,9,22,17,17,12,25,59,37,20,9,17,13,17,6,28,30,35,55,66,79,90,108,114,108,114
20091117,"IND","NJ",66,27,13,4,31,25,14,9,35,69,28,11,1,27,24,19,13,38,31,21,54,46,67,60,91,83,91,83
20091117,"LAC","NO",62,32,20,7,21,17,18,11,25,53,29,28,8,33,28,17,19,32,22,29,53,58,75,84,102,110,102,110
20091117,"OKC","MIA",63,32,14,5,22,21,11,9,32,54,26,18,5,30,20,15,9,27,25,17,45,42,74,59,100,87,100,87
20091117,"PHO","HOU",58,35,21,6,32,23,12,5,35,71,34,26,9,13,10,9,13,31,22,34,52,55,78,82,111,105,111,105
20091117,"TOR","DEN",75,35,16,7,28,21,14,19,29,61,41,17,7,35,27,12,3,30,29,28,64,64,89,97,112,130,112,130
20091118,"CHA","PHI",47,23,24,7,24,17,19,10,31,63,28,16,6,15,12,13,11,27,22,29,43,52,65,69,84,86,84,86
20091118,"CLE","WAS",56,28,22,7,15,14,16,6,29,61,31,23,5,35,31,12,16,33,32,22,51,44,72,75,91,108,91,108
20091118,"DET","POR",65,27,15,4,18,15,13,12,27,54,28,16,5,23,16,15,6,30,17,21,38,48,50,70,81,87,81,87
20091118,"GS","BOS",63,31,17,6,19,15,21,8,27,61,34,19,8,27,17,19,10,26,23,27,48,49,67,80,95,109,95,109
20091118,"HOU","MIN",62,27,28,12,10,7,22,18,28,64,32,15,4,10,8,23,12,24,23,21,48,42,68,67,97,84,97,84
20091118,"LAC","MEM",72,37,10,2,18,11,13,12,26,71,42,10,2,19,16,13,9,29,23,27,45,55,64,82,91,106,91,106
20091118,"MIA","ATL",58,26,21,9,16,11,15,9,33,69,30,20,8,28,21,8,15,28,23,26,43,60,72,79,90,105,90,105
20091118,"NJ","MIL",65,27,13,3,25,22,19,16,29,59,29,23,10,13,11,20,12,31,19,20,48,41,60,69,85,99,85,99
20091118,"NY","IND",48,25,25,10,41,30,17,7,33,51,26,26,8,39,27,20,13,33,25,26,54,69,76,86,110,103,110,103
20091118,"OKC","ORL",62,26,21,8,23,18,14,5,37,50,26,31,13,26,17,13,9,38,17,28,43,61,58,88,94,108,94,108
20091118,"SA","DAL",63,27,15,7,24,19,19,8,42,83,37,17,3,21,16,5,17,32,21,19,35,37,59,63,84,84,94,99
20091118,"TOR","UTA",66,28,25,6,22,17,11,16,34,73,38,11,3,29,19,10,13,36,17,33,52,61,75,78,91,104,91,104
20091119,"CHI","LAL",69,33,15,5,17,12,16,10,34,73,36,19,6,22,18,12,14,37,19,25,42,53,67,84,93,108,93,108
20091119,"PHO","NO",55,27,28,11,22,16,12,14,24,72,26,25,13,23,19,16,25,31,22,26,49,52,76,78,103,110,103,110
20091119,"UTA","SA",69,32,9,4,20,14,9,8,27,55,28,20,4,23,15,12,10,31,20,19,44,40,60,60,90,83,90,83
20091120,"CHA","MIL",45,28,14,2,43,26,14,2,33,54,24,28,10,21,17,15,14,29,25,30,41,53,60,76,88,95,88,95
20091120,"CLE","IND",65,30,13,6,34,27,14,11,36,63,34,18,4,21,15,11,9,32,38,38,66,61,77,82,105,95,105,95
20091120,"DEN","LAC",53,30,17,4,33,27,17,8,26,56,29,17,7,33,27,15,7,26,26,21,46,56,73,88,99,106,99,106
20091120,"HOU","ATL",70,32,22,7,21,18,13,20,22,58,31,20,8,26,19,15,15,24,26,28,51,55,72,77,103,105,103,105
20091120,"MEM","PHI",68,38,11,3,25,17,23,17,31,60,28,21,9,19,14,17,11,17,28,22,49,50,78,71,102,97,102,97
20091120,"MIA","TOR",66,32,23,7,34,28,11,15,25,56,32,15,9,36,29,20,9,34,24,26,49,69,83,89,113,120,113,120
20091120,"ORL","BOS",48,19,22,10,26,15,21,7,35,68,28,19,2,18,16,12,14,29,29,13,43,40,66,59,83,78,83,78
20091120,"POR","GS",60,29,19,4,30,24,23,17,28,71,33,13,7,27,21,17,11,26,37,29,52,56,75,83,94,108,94,108
20091120,"SAC","DAL",65,37,16,6,14,10,21,11,33,74,37,19,5,21,15,14,17,27,24,22,42,47,65,68,102,104,102,104
20091120,"WAS","OKC",72,34,15,7,27,19,20,17,23,61,33,21,11,33,28,17,12,30,29,32,55,62,86,95,108,127,108,127
