"AWAY_2PA"	"AWAY_2PM"	"AWAY_3PA"	"AWAY_3PM"	"AWAY_FTA"	"AWAY_FTM"	"AWAY_TO"	"AWAY_ORB"	"AWAY_DRB"	"HOME_2PA"	"HOME_2PM"	"HOME_3PA"	"HOME_3PM"	"HOME_FTA"	"HOME_FTM"	"HOME_TO"	"HOME_ORB"	"HOME_DRB"	"WINNER"
"113"	70.5	32.5	19.6666666666667	6.5	20.8333333333333	16.3333333333333	12.1666666666667	13	35.1666666666667	56	26.1428571428571	15.4285714285714	5	28.4285714285714	21.7142857142857	15.1428571428571	10.7142857142857	26.5714285714286	"A"
"114"	60	28.8	21	6.8	24.6	19.2	11	10.8	27.4	63.3333333333333	30	17	5	29.6666666666667	21	14.6666666666667	12.6666666666667	31.6666666666667	"A"
"115"	66	28.5	14.5	5.5	27.8333333333333	21.5	18.6666666666667	14.8333333333333	30.8333333333333	62.5	26	18.25	6.25	37	28	15.5	10.25	33.75	"H"
"116"	60	28	28.75	12	16.5	11.25	11.75	8.75	30	56.6666666666667	27.6666666666667	18	5	31.6666666666667	24.5	16.5	10	31.1666666666667	"H"
"117"	56.8571428571429	24.5714285714286	20.2857142857143	8.71428571428571	22	17.2857142857143	11.7142857142857	10.1428571428571	27	69.4	33.4	15.8	4.4	37	26.6	14.4	14	31.2	"H"
"118"	61.2	32.2	16	4.2	21	17	17.4	8.4	28.2	66.25	31	14.25	4	24.25	19.75	14.5	9	32	"H"
"119"	59.2	27	15.4	6.8	20.6	16.4	13.8	7	29.6	55.1666666666667	28.6666666666667	24.5	7.5	30.5	21	14	13.5	30.8333333333333	"H"
"120"	70.5	28.5	15	5	26	21.75	18.5	11.5	31.75	62.6666666666667	31.3333333333333	18.6666666666667	6.33333333333333	23.6666666666667	17.6666666666667	9.66666666666667	15	28.3333333333333	"H"
"121"	59	27.6	16.8	6.6	30.4	22.8	15	11.6	31.4	68	30.3333333333333	13.6666666666667	5.66666666666667	25.3333333333333	20	16.6666666666667	14	28.6666666666667	"H"
"122"	68.8571428571429	32.7142857142857	19.2857142857143	6.14285714285714	21.7142857142857	16.8571428571429	12.8571428571429	12.8571428571429	35.5714285714286	57.5	24	19	6	28	24.25	14.25	11.25	32.5	"A"
"123"	64.5	32.1666666666667	14.8333333333333	4.33333333333333	26.3333333333333	20.8333333333333	16.6666666666667	10.6666666666667	31.6666666666667	56	26	21	7.6	17.2	11.4	11.2	9	31.8	"A"
"124"	65.5	26.5	16	5.5	17.5	14	18.5	11.5	32	76.3333333333333	31	8.16666666666667	2.66666666666667	24	17.3333333333333	15.1666666666667	13.8333333333333	30.8333333333333	"A"
"125"	65.5714285714286	28.4285714285714	15.2857142857143	6.14285714285714	27.2857142857143	21.1428571428571	18.5714285714286	14.4285714285714	30.1428571428571	69.8	35.6	9.8	3.4	28.8	21.6	13.8	13.4	30.4	"H"
"126"	72	30.4	13.4	4.8	20.2	16.6	16.2	14.4	33.6	75	35	12.25	3.5	22	17.25	12	9.75	30.5	"H"
"127"	61.1666666666667	32.3333333333333	16.5	4	21.6666666666667	17.3333333333333	16.1666666666667	8.33333333333333	27.6666666666667	54.2	25.6	19.8	7.2	23.4	18.4	13	9.6	30.2	"A"
"128"	60.3333333333333	28	15.1666666666667	6	21	16.6666666666667	15.5	7.66666666666667	30.1666666666667	56.4	28.2	21.8	8.2	26.2	19.2	15	11.8	28.4	"A"
